web,,updated_node_name,unchanged_node_name,old_node_name,species,genus,family,order,class,phylum,kingdom,tiering,feeding,motility,zooplankton,detritus,size_worms_min,size_worms_max,size_heim_max,size_manual_max,og_body_weight,size_max,size_stat,present_in_og_el
stmarks,,,Sabellidae,,NA,NA,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.932,NA,NA,1
stmarks,,,Sabellidae gen. sp.,,NA,NA,Sabellidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,2.5,300,NA,NA,0.932,NA,NA,NA
kongsfjorden,,,Circeis,,Circeis,Circeis,Serpulidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,0.03,NA,NA,1
loughhyne,,,Circeis_204680,,Circeis204680,Circeis,Serpulidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,0.0118,NA,NA,1
loughhyne,,,Janua_68344,,Janua68344,Janua,Serpulidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,0.000231,NA,NA,1
stmarks,,,Serpulidae,,NA,NA,Serpulidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,0.0928,NA,NA,1
stmarks,,,Serpulidae gen. sp.,,NA,NA,Serpulidae,"	Sabellida",Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,0.0928,NA,NA,NA
sanak,,,Capitellidae,,NA,NA,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Capitella capitata,,Capitella capitata,Capitella,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,100,NA,NA,NULL,NA,NA,1
kongsfjorden,,,Heteromastus filiformis,,Heteromastus filiformis,Heteromastus,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,100,NA,NA,0.01,NA,NA,1
stmarks,,,Capitellidae,,NA,NA,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,100,NA,NA,0.398,NA,NA,1
stmarks,,,Capitellidae gen. sp.,,NA,NA,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,100,NA,NA,0.398,NA,NA,NA
ythanjacob,,,Capitallidae,,NA,NA,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,0,2.5,100,NA,NA,0.000417,NA,NA,1
ythanjacob,,,Capitallidae gen. sp.,,NA,NA,Capitellidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,0,2.5,100,NA,NA,0.000417,NA,NA,NA
sanak,,,Maldanidae,,NA,NA,Maldanidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_faun,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loughhyne,,,Lumbrinereis_621136,,Lumbrinereis621136,Lumbrineris,Lumbrineridae,Eunicida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,0,1,400,NA,NA,3.02,NA,NA,1
kongsfjorden,,Scoletoma,,Lumbrineris,NA,Scoletoma,Lumbrineridae,Eunicida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,0,1,400,NA,NA,3.02,NA,NA,1
kongsfjorden,,,Scoletoma fragilis,,Scoletoma fragilis,Scoletoma,Lumbrineridae,Eunicida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,0,1,400,NA,NA,0.03,NA,NA,1
sanak,,,Lumbrineridae,,NA,NA,Lumbrineridae,Eunicida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
stmarks,,,Onuphidae,,NA,NA,Onuphidae,Eunicida,Polychaeta,Annelida,Animalia,t_shin,f_pred,m_faun,0,1,4,215,NA,NA,7.31,NA,NA,1
stmarks,,,Onuphidae gen. sp.,,NA,NA,Onuphidae,Eunicida,Polychaeta,Annelida,Animalia,t_shin,f_pred,m_faun,0,1,4,215,NA,NA,7.31,NA,NA,NA
sanak,,,Onuphidae,,NA,NA,Onuphidae,Eunicida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Flabelligeridae,,NA,NA,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ythanjacob,,,Arenicola marina,,Arenicola marina,Arenicola,Arenicolidae,NA,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,250,NA,NA,0.167,NA,NA,1
burgess,,,Burgessochaeta setigera,,setigera,Burgessochaeta,Burgessochaetidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,NA,NA,NA,NA,NA,49,s_medi,1
kongsfjorden,,,Cossura longocirrata,,Cossura longocirrata,Cossura,Cossuridae,NA,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,1,2.5,20,NA,NA,0.05,NA,NA,1
stmarks,,,Maldanidae,,NA,NA,Maldanidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_faun,0,1,3,160,NA,NA,1.49,NA,NA,1
stmarks,,,Maldanidae gen. sp.,,NA,NA,Maldanidae,Capitellida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_faun,0,1,3,160,NA,NA,1.49,NA,NA,NA
burgess,,,Canadia spinosa,,spinosa,Canadia,NA,NA,Polychaeta,Annelida,Animalia,t_pela,f_pred,m_slow,0,1,NA,NA,NA,NA,NA,45,s_medi,1
sanak,,,Echiura,,NA,NA,NA,NA,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Opheliidae,,NA,NA,Opheliidae,NA,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Leitoscoloplos mammosus,,Leitoscoloplos mammosus,Leitoscoloplos,Orbiniidae,NA,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_slow,0,1,20,400,NA,NA,0.02,NA,NA,1
stmarks,,,Orbiniidae,,NA,NA,Orbiniidae,NA,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_slow,0,1,20,400,NA,NA,0.635,NA,NA,1
stmarks,,,Orbiniidae gen. sp.,,NA,NA,Orbiniidae,NA,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_slow,0,1,20,400,NA,NA,0.635,NA,NA,NA
ythanjacob,,,Orbinia,,Orbinia,Orbinia,Orbiniidae,NA,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_slow,0,1,20,400,NA,NA,0.000125,NA,NA,1
kongsfjorden,,,Scoloplos armiger,,Scoloplos armiger,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_slow,0,1,20,400,NA,NA,0.01,NA,NA,1
sanak,,,Orbiniidae,,NA,NA,Orbiniidae,NA,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
stmarks,,,Aricidea sp.,,NA,Aricidea,Paraonidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,50,NA,NA,0.0216,NA,NA,1
kongsfjorden,,,Levinsenia gracilis,,Levinsenia gracilis,Levinsenia,Paraonidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,50,NA,NA,0.01,NA,NA,1
stmarks,,,Paraonidae,,NA,NA,Paraonidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,50,NA,NA,0.0928,NA,NA,1
stmarks,,,Paraonidae gen. sp.,,NA,NA,Paraonidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,50,NA,NA,0.0928,NA,NA,NA
sanak,,,Paraonidae,,NA,NA,Paraonidae,NA,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
burgess,,,Peronochaeta dubia,,dubia,Peronochaeta,Peronochaetidae,NA,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_slow,0,1,NA,NA,NA,NA,NA,20,s_medi,1
sanak,,,Phascolosomatidae,,NA,NA,Phascolosomatidae,Phascolosomatiformes,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Weddell,,,Rhynchonereella bongraini,,Rhynchonereella bongraini,Rhynchonereella,Alciopidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,3,300,NA,NA,0.0019,NA,s_medi,NA
Weddell,,,Vanadis antarctica,,Vanadis antarctica,Vanadis,Alciopidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,3,300,NA,NA,0.0039,NA,s_medi,NA
loughhyne,,,Aphrodite_error,,Aphroditeerror,Aphrodita,Aphroditidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,15,600,NA,NA,0.636,NA,NA,1
Weddell,,,Laetmonice producta,,Laetmonice producta,Laetmonice,Aphroditidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,15,600,NA,NA,110,NA,s_medi,NA
sanak,,,Aphroditidae,,NA,NA,Aphroditidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Glycera capitata,,Glycera capitata,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,350,NA,NA,0.03,NA,NA,1
stmarks,,,Glyceridae,,NA,NA,Glyceridae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,350,NA,NA,1.29,NA,NA,1
stmarks,,,Glyceridae gen. sp.,,NA,NA,Glyceridae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,350,NA,NA,1.29,NA,NA,NA
sanak,,,Glyceridae,,NA,NA,Glyceridae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Goniadidae,,NA,NA,Goniadidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
stmarks,,,Hesionidae,,NA,NA,Hesionidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,0,2.5,100,NA,NA,0.0507,NA,NA,1
stmarks,,,Hesionidae gen. sp.,,NA,NA,Hesionidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,0,2.5,100,NA,NA,0.0507,NA,NA,NA
ythanjacob,,Hesionidae gen. sp.,,Hesionidae,NA,NA,Hesionidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,0,2.5,100,NA,NA,0.0188,NA,NA,NA
kongsfjorden,,,Nereimyra punctata,,Nereimyra punctata,Nereimyra,Hesionidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_fast,0,0,2.5,100,NA,NA,0.05,NA,NA,1
Weddell,,,Pelagobia longicirrata,,Pelagobia longicirrata,Pelagobia,Lopadorrhynchidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_pela,f_pred,m_fast,0,0,NA,NA,NA,50,0.0019,NA,s_medi,NA
kongsfjorden,,,Aglaophamus malmgreni,,Aglaophamus malmgreni,Aglaophamus,Nephtyidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,0,25,250,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Nephtys ciliata,,Nephtys ciliata,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,0,25,250,NA,NA,0.05,NA,NA,1
sanak,,,Nephtyidae,,NA,NA,Nephtyidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loughhyne,,,Hediste_65991,,Hediste65991,Hediste,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_fast,0,1,2.5,500,NA,NA,2.72,NA,NA,1
stmarks,,,Nereidae,,NA,NA,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,NA,NA,NA,1
stmarks,,,Nereidae gen. sp.,,NA,NA,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,0.932,NA,NA,NA
loughhyne,,,Nereis_65891,,Nereis65891,Neanthes,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,0.377,NA,NA,1
kongsfjorden,,,Nereis zonata,,Nereis zonata,Nereis,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,0.38,NA,NA,1
ythanjacob,,,Nereis diversicolor,,Nereis diversicolor,Nereis,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,0.125,NA,NA,1
ythanjacob,,,Nereis virens,,Nereis virens,Nereis,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,2.5,500,NA,NA,1.25,NA,NA,1
sanak,,,Nereididae,,NA,NA,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Pholoe assimilis,,Pholoe assimilis,Pholoe,Pholoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_shin,f_surf,m_slow,0,0,NA,NA,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Eteone,,Eteone,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_fast,0,1,0.2,750,NA,NA,0.03,NA,NA,1
ythanjacob,,,Eteone,,Eteone,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_fast,0,1,0.2,750,NA,NA,0.625,NA,NA,1
loughhyne,,,Eumida_65343,,Eumida65343,Eumida,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_pred,m_fast,0,1,0.2,750,NA,NA,0.301,NA,NA,1
kongsfjorden,,,Phyllodoce,,Phyllodoce,Phyllodoce,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_fast,0,1,0.2,750,NA,NA,0.03,NA,NA,1
ythanjacob,,,Phyllodoce,,Phyllodoce,Phyllodoce,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_fast,0,1,0.2,750,NA,NA,1.25,NA,NA,1
sanak,,,Phyllodocidae,,NA,NA,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loughhyne,,,Lepidonotos_error,,Lepidonotoserror,Lepidonotus,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_fast,0,1,2,215,NA,NA,0.148,NA,NA,1
Weddell,,,Barrukia cristata,,Barrukia cristata,Barrukia,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,3.9,NA,s_medi,NA
kongsfjorden,,,Bylgides elegans,,Bylgides elegans,Bylgides,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,NULL,NA,NA,1
kongsfjorden,,,Bylgides groenlandica,,Bylgides groenlandica,Bylgides,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,0,NA,NA,1
Weddell,,,Eucranta mollis,,Eucranta mollis,Eucranta,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,4.7,NA,s_medi,NA
Weddell,,,Eulagisca gigantea,,Eulagisca gigantea,Eulagisca,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,200,NA,s_medi,NA
kongsfjorden,,,Gattyana cirrhosa,,Gattyana cirrhosa,Eunoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,0.09,NA,NA,1
Weddell,,,Eunoe hartmanae,,Eunoe hartmanae,Eunoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,57,NA,s_medi,NA
Weddell,,,Eunoe spica,,Eunoe spica,Eunoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,4.2,NA,s_medi,NA
Weddell,,,Eunoe spica spicoides,,Eunoe spica spicoides,Eunoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,7.1,NA,s_medi,NA
kongsfjorden,,,Harmothoe imbricata,,Harmothoe imbricata,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,0.22,NA,NA,1
Weddell,,,Harmothoe crosetensis,,Harmothoe crosetensis,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,5.8,NA,s_medi,NA
Weddell,,,Harmothoe hartmanae,,Harmothoe hartmanae,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,6.1,NA,s_medi,NA
Weddell,,,Harmothoe spinosa,,Harmothoe spinosa,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,5.8,NA,s_medi,NA
loughhyne,,,Polynoidae gen. sp.,,NA,NA,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,0.636,NA,NA,NA
loughhyne,,,Polynoidae_64397,,NA,NA,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,0.636,NA,NA,1
Weddell,,,Polyeunoa laevis,,Polyeunoa laevis,Polyeunoa,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_pred,m_fast,0,1,2,215,NA,NA,15,NA,s_medi,NA
sanak,,,Polynoidae,,NA,NA,Polynoidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Sigalionidae,,NA,NA,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
stmarks,,,Syllidae,,NA,NA,Syllidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_fast,0,1,1,120,NA,NA,0.509,NA,NA,1
stmarks,,,Syllidae gen. sp.,,NA,NA,Syllidae,Phyllodocida,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_fast,0,1,1,120,NA,NA,0.509,NA,NA,NA
sanak,,,Syllidae,,NA,NA,Syllidae,Phyllodocida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Oweniidae,,NA,NA,Oweniidae,Sabellida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Sabellidae,,NA,NA,Sabellidae,Sabellida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loughhyne,,,Spirobis_error,,Spirobiserror,Spirorbis,Serpulidae,Sabellida,Polychaeta,Annelida,Animalia,t_sein,f_susp,m_nmat,0,1,NA,NA,NA,200,NULL,NA,NA,1
sanak,,,Serpulidae,,NA,NA,Serpulidae,Sabellida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sanak,,,Chaetopteridae,,NA,NA,Chaetopteridae,Spionida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Prionospio cirrifera,,Prionospio cirrifera,Minuspio,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,0.01,NA,NA,1
stmarks,,,Spionidae,,NA,NA,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,0.0507,NA,NA,1
stmarks,,,Spionidae gen. sp.,,NA,NA,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,0.0507,NA,NA,NA
kongsfjorden,,,Polydora,,Polydora,Polydora,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,0.01,NA,NA,1
ythanjacob,,,Pygospio elegans,,Pygospio elegans,Pygospio,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,0.000417,NA,NA,1
kongsfjorden,,,Spio,,Spio,Spio,Spionidae,Spionida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,0.1,160,NA,NA,NULL,NA,NA,1
sanak,,,Spionidae,,NA,NA,Spionidae,Spionida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
kongsfjorden,,,Ampharete finmarchica,,Ampharete finmarchica,Ampharete,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_faat,0,1,2.5,100,NA,NA,NULL,NA,NA,1
kongsfjorden,,,Lysippe labiata,,Lysippe labiata,Lysippe,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_faat,0,1,2.5,100,NA,NA,0.01,NA,NA,1
Weddell,,,Phyllocomus crocea,,Phyllocomus crocea,Phyllocomus,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_faat,0,1,2.5,100,NA,NA,0.47,NA,s_medi,NA
kongsfjorden,,,Sabellides octocirrata,,Sabellides octocirrata,Sabellides,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_faat,0,1,2.5,100,NA,NA,0.01,NA,NA,1
kongsfjorden,,,Samytha sexcirrata,,Samytha sexcirrata,Samytha,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_faat,0,1,2.5,100,NA,NA,0.01,NA,NA,1
sanak,,,Ampharetidae,,NA,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loughhyne,,,Cirratulus_67118,,Cirratulus67118,Cirratulus,Cirratulidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,100,NA,NA,0.932,NA,NA,1
stmarks,,,Cirratulidae,,NA,NA,Cirratulidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,100,NA,NA,0.932,NA,NA,1
stmarks,,,Cirratulidae gen. sp.,,NA,NA,Cirratulidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,100,NA,NA,0.932,NA,NA,NA
kongsfjorden,,,Chaetozone,,Chaetozone,Tharyx,Cirratulidae,Terebellida,Polychaeta,Annelida,Animalia,t_sein,f_surf,m_slow,0,1,2.5,100,NA,NA,0.05,NA,NA,1
kongsfjorden,,,Brada inhabilis,,Brada inhabilis,Brada,Flabelligeridae,Terebellida,Polychaeta,Annelida,Animalia,t_surf,f_surf,m_slow,0,1,2.5,100,NA,NA,NULL,NA,NA,1
