"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation","source","target"
"11","EOL_V2:395985","Cerastoderma edule","Animalia | Mollusca | Bivalvia | Veneroida | Cardioidea | Cardiidae | Cerastoderma | Cerastoderma edule",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Cerastoderma","Nereis"
"12","EOL_V2:395985","Cerastoderma edule","Animalia | Mollusca | Bivalvia | Veneroida | Cardioidea | Cardiidae | Cerastoderma | Cerastoderma edule",NA,"preyedUponBy","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,NA,NA,NA,NA,"Cerastoderma","Nereis"
"13","FBC:SLB:SpecCode:47401","Macoma balthica","Bivalvia | Veneroida | Tellinidae | Macoma | Macoma balthica",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Macoma","Nereis"
"14","FBC:SLB:SpecCode:47401","Macoma balthica","Bivalvia | Veneroida | Tellinidae | Macoma | Macoma balthica",NA,"preyedUponBy","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,NA,NA,NA,NA,"Macoma","Nereis"
"15","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,"preyedUponBy","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,NA,NA,NA,NA,"Nereis","Eteone"
"16","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,"preyedUponBy","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,NA,NA,NA,NA,"Nereis","Eteone"
"17","FBC:SLB:SpecCode:38620","Tubificoides benedii","Clitellata | Haplotaxida | Tubificidae | Tubificoides | Tubificoides benedii",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"18","FBC:SLB:SpecCode:38620","Tubificoides benedii","Clitellata | Haplotaxida | Tubificidae | Tubificoides | Tubificoides benedii",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"19","EOL_V2:401451","Tubificoides pseudogaster","Animalia | Annelida | Clitellata | Haplotaxida | Tubificidae | Tubificoides | Tubificoides pseudogaster",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"20","EOL_V2:401451","Tubificoides pseudogaster","Animalia | Annelida | Clitellata | Haplotaxida | Tubificidae | Tubificoides | Tubificoides pseudogaster",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"21","EOL_V2:52349","Tubificoides","Animalia | Annelida | Clitellata | Enchytraeida | Randiellidae | Tubificoides",NA,"preyedUponBy","GBIF:2222161","Crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonidae | Crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"22","EOL_V2:52349","Tubificoides","Animalia | Annelida | Clitellata | Enchytraeida | Randiellidae | Tubificoides",NA,"preyedUponBy","GBIF:2222161","Crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonidae | Crangon",NA,NA,NA,NA,NA,"Tubificoides","Crangon"
"23","EOL:486136","Arenicola marina","Animalia | Annelida | Polychaeta |  | Arenicolidae | Arenicola | Arenicola marina",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Arenicola","Crangon"
"24","EOL:486136","Arenicola marina","Animalia | Annelida | Polychaeta |  | Arenicolidae | Arenicola | Arenicola marina",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Arenicola","Crangon"
"25","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Nereis","Crangon"
"26","EOL_V2:406777","Nereis diversicolor","Annelida | Polychaeta | Errantia | Aciculata | Phyllodocida | Nereididae | Nereis | Nereis diversicolor",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Nereis","Crangon"
"27","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Nereis","Crangon"
"28","FBC:SLB:SpecCode:39837","Hediste diversicolor","Polychaeta | Aciculata | Nereididae | Hediste | Hediste diversicolor",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Nereis","Crangon"
"29","EOL:398428","Eteone longa","Animalia | Annelida | Polychaeta | Phyllodocida | Phyllodocidae | Eteone | Eteone longa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Eteone","Crangon"
"30","EOL:398428","Eteone longa","Animalia | Annelida | Polychaeta | Phyllodocida | Phyllodocidae | Eteone | Eteone longa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Eteone","Crangon"
"31","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Eteone","Crangon"
"32","FBC:SLB:SpecCode:37505","Eteone flava","Polychaeta | Aciculata | Phyllodocidae | Eteone | Eteone flava",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Eteone","Crangon"
"33","EOL:459152","Phyllodoce mucosa","Animalia | Annelida | Polychaeta | Phyllodocida | Phyllodocidae | Phyllodoce | Phyllodoce mucosa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Phyllodoce","Crangon"
"34","EOL:459152","Phyllodoce mucosa","Animalia | Annelida | Polychaeta | Phyllodocida | Phyllodocidae | Phyllodoce | Phyllodoce mucosa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Phyllodoce","Crangon"
"35","EOL:483985","Pygospio elegans","Animalia | Annelida | Polychaeta | Spionida | Spionidae | Pygospio | Pygospio elegans",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pygospio","Crangon"
"36","EOL:483985","Pygospio elegans","Animalia | Annelida | Polychaeta | Spionida | Spionidae | Pygospio | Pygospio elegans",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pygospio","Crangon"
"37","EOL_V2:343480","Corophium volutator","Animalia | Arthropoda | Malacostraca | Amphipoda | Corophiidae | Corophium | Corophium volutator",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Corophium","Crangon"
"38","EOL_V2:343480","Corophium volutator","Animalia | Arthropoda | Malacostraca | Amphipoda | Corophiidae | Corophium | Corophium volutator",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Corophium","Crangon"
"39","EOL_V2:328913","Corophium arenarium","Animalia | Arthropoda | Malacostraca | Amphipoda | Corophiidae | Corophium | Corophium arenarium",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Corophium","Crangon"
"40","EOL_V2:328913","Corophium arenarium","Animalia | Arthropoda | Malacostraca | Amphipoda | Corophiidae | Corophium | Corophium arenarium",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Corophium","Crangon"
"41","EOL_V2:1037842","Bathyporeia pilosa","Animalia | Arthropoda | Malacostraca | Amphipoda | Pontoporeiidae | Bathyporeia | Bathyporeia pilosa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Bathyporeia","Crangon"
"42","EOL_V2:1037842","Bathyporeia pilosa","Animalia | Arthropoda | Malacostraca | Amphipoda | Pontoporeiidae | Bathyporeia | Bathyporeia pilosa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Bathyporeia","Crangon"
"43","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,"preyedUponBy","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,NA,NA,NA,NA,"Crangon","Crangon"
"44","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,"preyedUponBy","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,NA,NA,NA,NA,"Crangon","Crangon"
"45","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Crangon","Crangon"
"46","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Crangon","Crangon"
"47","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Crangon","Crangon"
"48","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Crangon","Crangon"
"49","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,"preyedUponBy","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,NA,NA,NA,NA,"Crangon","Crangon"
"50","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,"preyedUponBy","EOL_V2:346627","Crangon allmanni","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon allmanni",NA,NA,NA,NA,NA,"Crangon","Crangon"
"51","EOL_V2:128502","Carcinus maenas","Animalia | Arthropoda | Malacostraca | Decapoda | Portunoidea | Portunidae | Carcinus | Carcinus maenas",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Carcinus","Crangon"
"52","EOL_V2:128502","Carcinus maenas","Animalia | Arthropoda | Malacostraca | Decapoda | Portunoidea | Portunidae | Carcinus | Carcinus maenas",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Carcinus","Crangon"
"53","EOL_V2:342951","Idotea chelipes","Animalia | Arthropoda | Malacostraca | Isopoda | Idoteidae | Idotea | Idotea chelipes",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Idotea","Crangon"
"54","EOL_V2:342951","Idotea chelipes","Animalia | Arthropoda | Malacostraca | Isopoda | Idoteidae | Idotea | Idotea chelipes",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Idotea","Crangon"
"55","EOL:1021691","Jaera albifrons","Animalia | Arthropoda | Malacostraca | Isopoda | Janiroidea | Janiridae | Jaera | Jaera albifrons",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Jaera","Crangon"
"56","EOL:1021691","Jaera albifrons","Animalia | Arthropoda | Malacostraca | Isopoda | Janiroidea | Janiridae | Jaera | Jaera albifrons",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Jaera","Crangon"
"57","GBIF:2220416","Neomysis mercedis","Animalia | Arthropoda | Malacostraca | Mysida | Mysidae | Neomysis | Neomysis mercedis",NA,"preyedUponBy","FBC:SLB:SpecCode:26015","Crangon franciscorum","Malacostraca | Decapoda | Crangonidae | Crangon | Crangon franciscorum",NA,NA,NA,NA,NA,"Neomysis","Crangon"
"58","GBIF:2220416","Neomysis mercedis","Animalia | Arthropoda | Malacostraca | Mysida | Mysidae | Neomysis | Neomysis mercedis",NA,"preyedUponBy","FBC:SLB:SpecCode:26015","Crangon franciscorum","Malacostraca | Decapoda | Crangonidae | Crangon | Crangon franciscorum",NA,NA,NA,NA,NA,"Neomysis","Crangon"
"59","EOL_V2:340664","Gammarus locusta","Gammaridae | Gammarus | Gammarus locusta",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Gammarus","Crangon"
"60","EOL_V2:340664","Gammarus locusta","Gammaridae | Gammarus | Gammarus locusta",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Gammarus","Crangon"
"61","EOL_V2:2945952","Gammarus marinus","Cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Gammaroidea | Gammaridae | Gammarus | Gammarus marinus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Gammarus","Crangon"
"62","EOL_V2:2945952","Gammarus marinus","Cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Gammaroidea | Gammaridae | Gammarus | Gammarus marinus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Gammarus","Crangon"
"63","FBC:FB:SpecCode:24","Clupea harengus","Actinopterygii | Clupeiformes | Clupeidae | Clupea | Clupea harengus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Clupea","Crangon"
"64","FBC:FB:SpecCode:24","Clupea harengus","Actinopterygii | Clupeiformes | Clupeidae | Clupea | Clupea harengus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Clupea","Crangon"
"65","FBC:SLB:SpecCode:40207","Polydora ciliata","Polychaeta | Canalipalpata | Spionidae | Polydora | Polydora ciliata",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Ciliata","Crangon"
"66","FBC:SLB:SpecCode:40207","Polydora ciliata","Polychaeta | Canalipalpata | Spionidae | Polydora | Polydora ciliata",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Ciliata","Crangon"
"67","FBC:FB:SpecCode:1345","Pomatoschistus minutus","Actinopterygii | Perciformes | Gobiidae | Pomatoschistus | Pomatoschistus minutus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pomatoschistus","Crangon"
"68","FBC:FB:SpecCode:1345","Pomatoschistus minutus","Actinopterygii | Perciformes | Gobiidae | Pomatoschistus | Pomatoschistus minutus",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pomatoschistus","Crangon"
"69","FBC:FB:SpecCode:1342","Pleuronectes platessa","Actinopterygii | Pleuronectiformes | Pleuronectidae | Pleuronectes | Pleuronectes platessa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pleuronectes","Crangon"
"70","FBC:FB:SpecCode:1342","Pleuronectes platessa","Actinopterygii | Pleuronectiformes | Pleuronectidae | Pleuronectes | Pleuronectes platessa",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Pleuronectes","Crangon"
"71","EOL_V2:492903","Mya arenaria","Animalia | Mollusca | Bivalvia | Myoida | Myoidea | Myidae | Mya | Mya arenaria",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Arenaria","Crangon"
"72","EOL_V2:492903","Mya arenaria","Animalia | Mollusca | Bivalvia | Myoida | Myoidea | Myidae | Mya | Mya arenaria",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Arenaria","Crangon"
"73","EOL_V2:492903","Mya arenaria","Animalia | Mollusca | Bivalvia | Myoida | Myoidea | Myidae | Mya | Mya arenaria",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Mya","Crangon"
"74","EOL_V2:492903","Mya arenaria","Animalia | Mollusca | Bivalvia | Myoida | Myoidea | Myidae | Mya | Mya arenaria",NA,"preyedUponBy","EOL_V2:1039673","Crangon crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonoidea | Crangonidae | Crangon | Crangon crangon",NA,NA,NA,NA,NA,"Mya","Crangon"
"75","ITIS:81691","Mya","Animalia | Bilateria | Protostomia | Lophozoa | Mollusca | Bivalvia | Heterodonta | Myoida | Myoidea | Myidae | Mya",NA,"preyedUponBy","GBIF:2222161","Crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonidae | Crangon",NA,NA,NA,NA,NA,"Mya","Crangon"
"76","ITIS:81691","Mya","Animalia | Bilateria | Protostomia | Lophozoa | Mollusca | Bivalvia | Heterodonta | Myoida | Myoidea | Myidae | Mya",NA,"preyedUponBy","GBIF:2222161","Crangon","Animalia | Arthropoda | Malacostraca | Decapoda | Crangonidae | Crangon",NA,NA,NA,NA,NA,"Mya","Crangon"
